"id","eixo","data_avaliacao","tipo_entidade","entidade","componente","item","estagio","pontuacao","comentario"
"3161","Governança","2025-09-01","Estado","Bahia","G1","B","Estágio inicial","0.333","O quadro legal e regulatório do Estado da Bahia estabelece parâmetros para mitigação e adaptação dos impactos climáticos. O Estado vem avançando na regulamentação de dispositivos, a exemplo  do Programa Bahia Sem Fogo, regulamentado pelo Decreto 23835/2025. Porém, dos instrumentos previstos na Política Estadual sobre Mudança do Clima, Lei Estadual nº 12.050/2011, o Plano Estadual sobre Mudança do Clima; o Plano Estadual de Prevenção e Combate a Incêndios Florestais; o Plano Estadual de Educação Ambiental; o Plano Estadual de Meio Ambiente; ainda não foram implementados; e o Plano Estadual de Combate à Desertificação e Mitigação dos Efeitos da Seca (PAE-Bahia) e de Recursos Hídricos, estão desatualizados.  Somado a isso, apesar da Lei do Estado da Bahia prevê o Inventário Estadual de Gases de Efeito Estufa - GEE - como instrumento, não há previsão de meta de redução. Em 2023, o Estado formalizou Acordo de Cooperação Técnica para realizar estimativas e inventários GEE. Assim, conclui-se que o quadro legal e regulatório do Estado da Bahia é compatível com os principais dispositivos federais, porém sem prazos e metas específicas definidas, em razão da não implementação/desatualização dos instrumentos da Política."
"3201","Governança","2025-09-01","Estado","Bahia","G1","C","Estágio inicial","0.333","O marco legal e regulatório da Bahia, que prevê mecanismos de integração dos aspectos das mudanças climáticas, é a Lei Estadual nº 12.050/2011, ainda não regulamentada. Em seu Art.6, há previsão, como instrumento da Política (PEMC): dotações específicas para ações em mudança do clima no Orçamento do Estado.  Há, ainda, previsão de articulação dos instrumentos da PEMC, na sua dimensão institucional, contemplando fóruns, colegiados e espaços públicos/institucionais.  Considerando os instrumentos de planejamento do Estado, no Plano de Desenvolvimento Integrado da Bahia-PDI 2035, eixo estratégico Meio Ambiente e Segurança Hídrica, foi definido o objetivo: Promover a mitigação e a adaptação às mudanças climáticas. No PPA 2024-2027, eixo estratégico Meio Ambiente e Segurança Hídrica, há previsão do Programa Meio Ambiente e Mudança do Clima, tendo como Órgãos participantes a Secretaria de Meio Ambiente - SEMA, e a Secretaria de Segurança Pública-SSP.  No Plano Estadual de Saúde- PES 2024-2027, também instrumento da PEMC, há previsão de Elaboração de um Plano Setorial da Saúde de mitigação e adaptação às mudanças climáticas na Bahia. Ainda, a LOA 2025 contempla ações voltadas para adaptação e mitigação dos efeitos das mudanças climáticas. Porém, as disposições contidas nestes instrumentos estão desarticuladas da Política; a ausência ou desatualização dos Planos comprometem a integração das questões de mudança do clima nos principais instrumentos de planejamento."
"6242","Governança","2025-09-01","Estado","Bahia","G2","A","Estágio avançado","1","Existe uma estrutura governamental formal para tratar de aspectos relacionados às mudanças climáticas. Vinculado à estrutura da SEMA, há o Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade, composto por 13 órgãos do Poder Público Estadual e a Marinha do Brasil (Decreto 9.519/2005); além de dois Fundos Públicos em funcionamento, destinados a financiar ações relacionadas a tais políticas: Fundo Estadual de Recursos Hídricos, que começou a executar recursos em 2024 (em 2025, possuía um orçamento, atualizado até maio, de R$2.710.180,20) e Fundo Estadual de Recursos Ambientais, que executa recursos há mais de dez anos (em 2025, possuía um orçamento de R$6.709.017,27). Ainda, na estrutura do INEMA, foi verificada a Coordenação de Estudos de Clima e Projetos Especiais (COCEP), vinculada à Diretoria de Recursos Hídricos e Monitoramento Ambiental (DIRAM). A Lei Estadual nº 14.889/2025 criou o Comitê de Acompanhamento do Plano Estadual de Transição Energética (representantes da SEMA, SDE, SECTI, SEAGRI, SEINFRA, SDR, FAPESB e INEMA), possuindo, dentre outras competências, a de monitorar as ações e resultados dos diversos projetos e ações, no âmbito dos governos federal e estadual, bem como de parceiros privados nacionais e internacionais, que se relacionem com a execução do Plano Estadual de Transição Energética, de forma a enfrentar os efeitos adversos da mudança do clima, tendo como efeito a redução das emissões de gases de efeito estufa."
"6301","Governança","2025-09-01","Estado","Bahia","G2","B","Estágio avançado","1","De acordo a Lei nº 12.212/2011 e o seu Regimento Interno, a SEMA é responsável pelo planejamento, coordenação, supervisão e controle da Política Estadual sobre Mudança do Clima. Dentro da estrutura institucional do Estado, compete a esta Secretaria as maiores responsabilidades no sentido de liderar, coordenar, implementar, monitorar e dar transparência aos assuntos referentes a tal Política. O Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade, vinculado à SEMA, e presidido pelo seu Secretário, de acordo com o Art. 2º do Decreto nº 9.519/2005, tem importantes responsabilidades na implementação, divulgação e transparência da Política Estadual sobre Mudanças do Clima, a exemplo de promover a estruturação e a implementação do Plano de Mudanças Climáticas. Cabe ao INEMA, segundo a Lei nº 12.212/2011 e seu regimento interno, a responsabilidade de executar a Política Estadual sobre Mudança do Clima, tendo, dentre suas competências, executar ações e programas relacionados à Política. Apesar de uma maior responsabilidade dos órgãos ambientais, existe transversalidade na execução da Política, tendo representantes de outros órgãos estaduais participando do Fórum Baiano de Mudanças Climáticas, do Comitê de Acompanhamento do Plano Estadual de Transição Energética, além de outras ações relacionadas às mudanças climáticas, tais como aquelas exercidas pela SEAGRI,na execução dos Planos de mitigação voltados para a agricultura baiana (Plano ABC+ Bahia)."
"4045","Governança","2025-09-01","Estado","Bahia","G2","C","Estágio avançado","1","Na Bahia, as ações climáticas estão sob a liderança da Secretaria do Meio Ambiente, instância de alto nível na estrutura do Governo do Estado, ligada diretamente ao chefe do Executivo, gestora da Política Estadual de Mudança do Clima. A SEMA e o INEMA possuem quadro técnico responsável pela gestão das políticas ambientais do Estado, compondo seus quadros especialistas em meio ambiente, que desenvolvem ações em diversas áreas, tais como gestão de Unidades de Conservação, licenciamento, fiscalização e monitoramento ambiental. Em relação aos subsídios técnicos, foi apresentado o Inventário Estadual de Gases de Efeito Estufa - GEE (versões publicadas em 2022 e 2024), além de providências em andamento para implementação de outras ferramentas técnicas, previstas na Política de Mudança do Clima (tais como o Zoneamento Ecológico-Econômico do Estado da Bahia e o o Mapa Estadual de Vulnerabilidade às Mudanças Climáticas). O Secretário preside o Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade, que tem importantes responsabilidades na implementação, divulgação e transparência da Política Estadual sobre Mudanças do Clima.  Conforme citado no item anterior, as responsabilidades de cada ator foram definidas nos normativos existentes."
"3221","Governança","2025-09-01","Estado","Bahia","G3","A","Estágio inicial","0.333","O Mapa Estadual de Vulnerabilidade às Mudanças Climáticas é um instrumento previsto na Lei Estadual 12.050/2011, Art. 6, XVIII. Porém, o referido instrumento ainda não foi elaborado. A SEMA informou que vem trabalhando na elaboração desse mapa junto ao MCTI, por meio de um Termo de Cooperação. Ademais, especificamente em relação à área agropecuária, foi constatado no Plano Estadual de Mitigação e Adaptação às Mudanças Climáticas na Agricultura para a Consolidação de uma Economia de Baixa Emissão de Carbono da Bahia (Plano ABC+, para o período 2020 - 2030), a motivação para as metas estabelecidas, quais sejam diminuição da vulnerabilidade e aumento da resiliência dos sistemas de produção agropecuários; por meio da identificação e mapeamento das áreas estratégicas no Estado, levando em conta os aspectos econômicos, sociais e ambientais."
"4523","Governança","2025-09-01","Estado","Bahia","G3","B","Estágio inicial","0.333","O Estado da Bahia ainda não possui o Mapa Estadual de Vulnerabilidade às Mudanças Climáticas, instrumento previsto na Lei 12.050/2011. Porém, foram constatadas, no PPA 2024-2027: iniciativa vinculada à SEAGRI: implementar o Plano Estadual de Mitigação e Adaptação às Mudanças Climáticas na Agricultura para a Consolidação de uma Economia de Baixa Emissão de Carbono da Bahia (Plano ABC+, para o período 2020 - 2030); iniciativa vinculada à Secretaria Estadual da Saúde - SESAB: Implantar mecanismos para mapeamento das áreas de risco para atuação da Vigilância em Saúde Ambiental - SESAB/FESBA; iniciativa vinculada à Casa Civil: Apoiar o mapeamento das áreas em situação de risco em municípios baianos - CASA CIVIL. Portanto, os riscos climáticos são utilizados de forma pontual nas iniciativas citadas."
"6349","Governança","2025-09-01","Estado","Bahia","G4","A","Estágio intermediário","0.666","O Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade, instituído através do Decreto nº 9.519/2005, tem, entre outras responsabilidades, facilitar a interação entre a sociedade civil e o poder público, para promover a internalização do tema Mudanças Climáticas nas esferas de atuação dos atores sociais relevantes. O mesmo é composto por representantes permanentes de diversos entes do Poder Público Estadual: SEMA; Casa Civil; Secretaria de Ciência, Tecnologia e Inovação; Secretaria de Infraestrutura; Secretaria de Desenvolvimento Econômico; Secretaria de Desenvolvimento Urbano; Secretaria da Agricultura, Pecuária, Irrigação, Pesca e Aquicultura; Secretaria do Planejamento; Secretaria de Desenvolvimento Rural; Secretaria de Infraestrutura Hídrica e Saneamento; Instituto do Meio Ambiente e Recursos Hídricos; Companhia de Gás da Bahia e Ministério Público Estadual. Além destes, é membro permanente a Marinha do Brasil, podendo integrar o Fórum representantes de entidades da sociedade civil, tais como Federação das Indústrias do Estado da Bahia; Federação da Agricultura e Pecuária do Estado da Bahia; Associação Brasileira de Energia Eólica e Energia Solar, dentre outros. Apesar de solicitado, não foram entregues as Atas das Reuniões do Fórum, referentes ao período 2023 - 2025 (apenas as pautas). Na página do Fórum, na internet, também não foram divulgadas as Atas das reuniões ocorridas neste período, impossibilitando a Auditoria certificar seu funcionamento."
"6369","Governança","2025-09-01","Estado","Bahia","G4","B","Estágio avançado","1","O Estado da Bahia participa de mecanismos de coordenação horizontal intergovernamental voltados à agenda climática. Verificou-se a participação na Câmara Temática de Meio Ambiente do Consórcio Interestadual de Desenvolvimento Sustentável do Nordeste (Consórcio Nordeste), que reúne os nove estados da região para formulação conjunta de políticas públicas, incluindo projetos climáticos estruturantes. A participação da Bahia no Consórcio foi ratificada pela Lei Estadual nº 14.087/2019. Participa também do Consórcio Brasil Verde, formado por 21 estados-membros, voltado à cooperação entre unidades federativas brasileiras no cumprimento das metas do Acordo de Paris (Lei Estadual nº 14.586/2023). O Secretário do Meio Ambiente integra a Associação Brasileira de Entidades Estaduais de Meio Ambiente (ABEMA), espaço de articulação e posicionamento político dos entes estaduais sobre temas ambientais. Ademais, o Estado da Bahia integra também a rede do ICLEI - Governos Locais pela Sustentabilidade, mantendo filiação ativa e participação em programas de apoio à ação climática local e subnacional."
"6381","Governança","2025-09-01","Estado","Bahia","G4","C","Estágio avançado","1","O Estado da Bahia mantém participação em mecanismos de coordenação vertical intergovernamental voltados à gestão ambiental. Dentre esses mecanismos, destaca-se a Comissão Tripartite Nacional do Sistema Nacional do Meio Ambiente (SISNAMA), instância estratégica de articulação entre os entes federativos (União, Estados, Distrito Federal e Municípios. Paralelamente, a Bahia conta com estrutura própria de articulação federativa no âmbito estadual, por meio da Comissão Tripartite Estadual da Bahia, cuja composição foi atualizada por meio da Portaria GM/MMA nº 1.02/2024, do Ministério do Meio Ambiente e Mudança do Clima (MMA). Essa comissão representa o desdobramento estadual da coordenação federativa ambiental, possibilitando maior alinhamento entre as ações dos diferentes níveis de governo. Ambas as comissões - nacional e estadual - promovem o diálogo institucional, contribuindo para a formulação de respostas coordenadas a desafios complexos, como a adaptação às mudanças climáticas, o ordenamento do uso do solo e a conservação da biodiversidade."
"4505","Governança","2025-09-01","Estado","Bahia","G5","A","Estágio intermediário","0.666","Na Bahia, existem mecanismos formais, ativos, de participação de atores não governamentais, a exemplo do  Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade, do Conselho Estadual do Meio Ambiente; do Conselho Estadual de Recursos Hídricos - CONERH, e da Comissão Interinstitucional de Educação Ambiental - CIEA. Portanto, existem mecanismos formais, contínuos e deliberativos de participação tanto para a concepção como para a implementação de políticas ou ações relacionadas ao clima. Os mecanismos propostos possuem capacidade de interação regular com os órgãos estaduais envolvidos na ação climática. Ainda, há previsão, nesses mecanismos, de deliberação das decisões adotadas pelos órgãos colegiados, por meio de Resoluções. Porém, apesar dos registros contidos nas atas das reuniões dos Conselhos, não há evidências quanto à existência de relatórios, resposta institucional à sociedade, que apontem se as deliberações, sugestões, foram incorporadas ou  rejeitadas, justificando as razões."
"4506","Governança","2025-09-01","Estado","Bahia","G5","B","Estágio avançado","1","Ao analisar a participação de diversos segmentos sociais e econômicos na discussão sobre mudanças climáticas, foi verificada a presença da sociedade civil, poder público, academia e setor privado, nos atores citados pela Lei 12.050/2011.  A escolha das representações da Sociedade Civil e Setor Privado é feita por processo eleitoral público, em que cada segmento vota e elege seus representantes nos Colegiados. Portanto, existe representação das categorias, formalizada, com participação de representações da sociedade, o que pode ser constatado no CEPRAM, CONERH, CIEA e Fórum Baiano de Mudanças Climáticas Globais e de Biodiversidade."
"4524","Governança","2025-09-01","Estado","Bahia","G6","A","Sem progresso","0","Os grupos mais vulneráveis aos impactos das mudanças climáticas ainda não foram identificados, não existindo mapeamento destes grupos. Conforme informado pela SEMA: ""... está sendo desenvolvido o Mapa Estadual de Vulnerabilidade às Mudanças Climáticas ...""."
"4508","Governança","2025-09-01","Estado","Bahia","G6","B","Estágio intermediário","0.666","Conforme resposta da SEMA, em anexo, no que se refere a dimensão institucional de articulação de instâncias colegiadas com os instrumentos da Política Estadual sobre Mudança do Clima, existem mecanismos formais, a exemplo do Conselho Estadual do Meio Ambiente - CEPRAM, Conselho Estadual de Recursos Hídricos - CONERH e Comissão Interinstitucional de Educação Ambiental - CIEA, com representações de povos e comunidades tradicionais, assim como de povos indígenas."
"4526","Governança","2025-09-01","Estado","Bahia","G6","C","Sem progresso","0","Conforme já informado, não há, no estado da Bahia, até o momento, planos de mitigação e adaptação elaborados (com exceção da área agropecuária, que possue o Plano ABC+). Em relação ao quadro legal e regulatório (G1A), a Auditoria não identificou ferramentas que prevejam uma perspectiva de equidade."
"4980","Governança","2025-09-01","Estado","Bahia","G7","A","Estágio inicial","0.333","Segundo o Regimento Interno da Assembleia Legislativa do Estado da Bahia (Resolução ALBA nº 1.193/1985), uma das Comissões Permanentes previstas na estrutura da Casa Legislativa (Art. 51) é a Comissão do Meio Ambiente, Seca e Recursos Hídricos, a quem cabe manifestar-se acerca de toda a matéria que direta ou indiretamente se relacione com a preservação do meio ecológico e ambiental. Conforme verificado no site da ALBA e em visita in loco, tal Comissão está constituída e em funcionamento, sendo que em duas visitas da Auditoria, realizadas em 2025, as sessões não ocorreram por ausência de quórum. Em uma terceira, membros da Gerência 1A assistiram a uma audiência pública promovida pela Comissão, tendo como assunto temas ligados à Política Estadual de Recursos Hídricos. Foi solicitado ao presidente desta Comissão se já houve alguma atividade legislativa específica relacionada ao tema Mudanças Climáticas Globais ou Política Estadual da Mudança do Clima (audiências públicas, debates, relatórios, etc), sendo encaminhado, caso positivo, comprovação documental (atas, convocações, relatórios, etc). Em resposta, o assessor do deputado presidente informou que não houve, tendo ocorrido em relação ao tema, apenas uma palestra a estudantes do ensino médio no Colégio Municipal Joselito Amorim, em Feira de Santana, com o Tema ""Transição Energética no Contexto das Mudanças Climáticas""."
"3741","Governança","2025-09-01","Estado","Bahia","G7","B","Estágio intermediário","0.666","Verificou-se que, nos últimos cinco anos, foram realizadas três Auditorias pelo TCE/BA, nas quais foram abordados assuntos relacionados ao tema mudanças climáticas (duas Prestações de Contas e uma Inspeção). As duas contas referiram-se às Auditorias de Prestação de Contas do INEMA - exercício de 2022 (Processo TCE/001705/2023) e da SEMA - exercício de 2023 (Processo TCE/001665/2024). O INEMA é o órgão executor e a SEMA é o órgão gestor da Política Estadual sobre Mudança do Clima, sendo acompanhado, em ambos os trabalhos, aspectos relacionados à formulação, implementação e avaliação das Políticas Públicas sob responsabilidade destes dois órgãos, dentre estas, a Política Estadual sobre Mudança do Clima). Em relação à Inspeção (Processo TCE/012669/2023), tal trabalho acompanhou, no âmbito da SEMA e do INEMA, aspectos relacionados à gestão florestal das Unidades de Conservação, de forma a responder se as ações implementadas pelos órgãos ambientais estaduais têm contemplado obrigatoriedades legais previstas, no intuito de consolidar as Unidades de Conservação de domínio estadual como instrumento efetivo de proteção dos biomas. Foram acompanhados obrigatoriedades previstas na Política Estadual sobre Mudança do Clima, a exemplo da criação do Plano Estadual de Mudança do Clima e do Plano Estadual de Prevenção e Combate a Incêndios Florestais. Não foram realizados trabalhos pela Auditoria Geral do Estado, órgão central de Controle Interno do Governo Estadual, com foco neste tema."
"4974","Governança","2025-09-01","Estado","Bahia","G7","C","Estágio intermediário","0.666","Verificou-se a implementação das seguintes ações no âmbito do TJ/BA: 1) Criação de Unidade Judiciária Especializada. O Decreto Judiciário nº 274/2024 criou o Núcleo de Justiça 4.0 Metas - 03, com competência para julgamento de ações que envolvam, entre outros temas, o Direito Ambiental. 2) Criação de um núcleo especializado na temática ambiental. Através do Decreto Judiciário n° 93/2025, foi instituído o Grupo do Meio Ambiente, responsável por implementar as diretrizes do Fórum Ambiental do Poder Judiciário (FONAMB). 3) Reunião inicial realizada entre os membros do Grupo, onde foi discutida e apresentada proposta de implementação das Diretrizes da Resolução CNJ611/2024 no âmbito do TJ/BA. 4) Solicitação ao setor competente do TJ/BA da atualização do Painel de Priorização de Processos, no tocante às metas ambientais. 5) Representação de membro do Grupo no Encontro Nacional do Meio Ambiente do Poder Judiciário, no qual ficou deliberado ação nacional, coordenada pelo CNJ, tendo como diretriz prioritária a promoção de julgamentos de processos com matéria ambiental; além da implementação da Semana da Pauta Verde."
"1704","Políticas públicas","2025-09-01","Estado","Bahia","P1","A","Estágio intermediário","0.666","A Bahia possui Política sobre a Mudança do Clima, que tem, dentre os seus objetivos, a mitigação dos impactos adversos resultantes das interferências antrópicas no sistema climático; formalizada por meio da Lei 12.050/2011, aprovada e em vigor. Porém, não possui Plano Estadual sobre Mudança do Clima. Foi constatado a existência de dois Planos Setoriais: Atlas H2V Bahia; e o Plano estadual para adaptação à mudança do clima e baixa emissão de carbono na agropecuária com vistas ao desenvolvimento sustentável - Plano ABC+ Bahia 2020-2030; que têm dentre os seus objetivos, a redução da taxa de crescimento das emissões de gases de efeito estufa, bem como a mitigação dos efeitos das mudanças do clima."
"1708","Políticas públicas","2025-09-01","Estado","Bahia","P1","B","Estágio inicial","0.333","O Estado da Bahia possui Política sobre a Mudança do Clima, formalizada por meio da Lei 12.050/2011, aprovada e em vigor. Como diretriz desta Política, há previsão do  aperfeiçoamento e da observação sistemática do monitoramento do clima e suas manifestações no território estadual.  Além disso, é instrumento da Política Estadual sobre Mudança do Clima: os dados do monitoramento climático nacional, estadual e municipal. Portanto, há previsão formal de mecanismos para monitoramento da Política.  Por outro lado, o Estado ainda não elaborou o Plano de Ação Climática, bem como o Plano Estadual de Enfrentamento às Mudanças Climáticas. Ainda, conforme retorno do INEMA, nota técnica em anexo,  foram desenvolvidas ações estratégicas a fim de aprimorar o monitoramento e auxilio no combate aos impactos da seca no Estado da Bahia."
